state,ccn,facility_name,street_address,city,zip_code,fips_county,provider_subtype,reporting_source,dates_with_missing_data,certified_bed_count,component_hospitals,week_ending,days_at_100%,percentage_of_required_fields_reported,hospital_required_to_report_wed_only,total_beds,all_adult_hospital_beds,inpatient_beds,all_adult_hospital_inpatient_beds,inpatient_beds_used,all_adult_hospital_inpatient_bed_occupied,total_icu_beds,total_staffed_adult_icu_beds,icu_beds_used,staffed_adult_icu_bed_occupancy,total_ventilators,ventilators_used,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid,inpatient_ventilators_used_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_covid,hospital_onset_covid,overflow_covid,overflow_ventilators_used_covid,deaths_covid,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_all,previous_day_admission_adult_covid_confirmed_all,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_suspected,previous_day_total_ed_visits,previous_day_covid_ed_visits,total_patients_hospitalized_confirmed_influenza,previous_day_admission_influenza_confirmed,icu_patients_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,previous_day_deaths_influenza,previous_day_deaths_covid_and_influenza,previous_day_remdesivir_used,on_hand_supply_remdesivir_vials,critical_staffing_shortage_today,critical_staffing_shortage_anticipated_within_week,ppe_supply_management_source,on_hand_ventilator_supplies_in_days,n95_respirators_days_available,on_hand_supply_of_surgical_masks_in_days,on_hand_supply_of_eye_protection_in_days,on_hand_supply_of_single_use_surgical_gowns_in_days,on_hand_supply_of_gloves_in_days,able_to_obtain_ventilator_supplies,able_to_obtain_ventilator_medications,able_to_obtain_n95_masks,able_to_obtain_paprs,able_to_obtain_surgical_masks,able_to_obtain_eye_protection,able_to_obtain_single_use_gowns,able_to_obtain_gloves,able_to_maintain_ventilator_supplies,able_to_maintain_ventilator_medications,able_to_maintain_n95_masks,able_to_maintain_paprs,able_to_maintain_surgical_masks,able_to_maintain_eye_protection,able_to_maintain_single_use_gowns,able_to_maintain_gloves,able_to_maintain_lab_nasal_pharyngeal_swabs,able_to_maintain_lab_nasal_swabs,able_to_maintain_lab_viral_transport_media,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,on_hand_supply_therapeutic_b_bamlanivimab_courses,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_personnel_covid_vaccinated_doses_administered,total_personnel_covid_vaccinated_doses_none,total_personnel_covid_vaccinated_doses_one,total_personnel_covid_vaccinated_doses_all,total_personnel,previous_week_patients_covid_vaccinated_doses_one,previous_week_patients_covid_vaccinated_doses_all,Georeference
TN,440200,SAINT THOMAS STONES RIVER HOSPITAL,324 DOOLITTLE ROAD,WOODBURY,37190.0,15,Short Term,tt,[],55,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,No,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-86.072935 35.832925)
TX,670134,ALTUS LUMBERTON HOSPITAL,220 BLANCO ST,LUMBERTON,77657.0,199,Short Term,tt,[],4,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,No,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,
MO,260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,64804.0,97,Short Term,tt,[],367,1,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false,false,POINT (-94.511799 37.034697)
AL,012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,MOBILE,36607.0,97,Long Term,state,[],22,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-88.081013 30.696442)
MN,241381,SANFORD MEDICAL CENTER THIEF RIVER FALLS,3001 SANFORD PARKWAY,THIEF RIVER FALLS,56701.0,113,Critical Access Hospitals,tt,[],25,1,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,No,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-96.197788 48.088654)
NV,290003,SUNRISE HOSPITAL AND MEDICAL CENTER,3186 S MARYLAND PKWY,LAS VEGAS,89109.0,3,Short Term,state/tt,[],762,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,0.0,0.0,0.0,No,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,POINT (-115.136882 36.134584)
MI,230093,SPECTRUM HEALTH BIG RAPIDS HOSPITAL,605 OAK STREET,BIG RAPIDS,49307.0,107,Short Term,tt,[],74,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,false,false,true,true,true,true,true,false,false,true,false,true,true,true,true,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,POINT (-85.475409 43.693129)
WI,521341,RICHLAND HOSPITAL,333 E SECOND ST,RICHLAND CENTER,53581.0,103,Critical Access Hospitals,tt,['2022-04-05'],25,1,04/07/2022 12:00:00 AM,6,0.866,false,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,Yes,false,false,true,true,true,true,true,false,false,true,false,true,true,true,true,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-90.382826 43.339118)
PA,394049,BROOKE GLEN BEHAVIORAL HOSPITAL,7170 LAFAYETTE AVENUE,FORT WASHINGTON,19034.0,91,Psychiatric,tt,[],146,1,04/07/2022 12:00:00 AM,7,1,true,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,POINT (-75.215689 40.135277)
MI,230167,MCLAREN GREATER LANSING,2900 COLLINS RD,LANSING,48910.0,65,Short Term,tt,[],363,2,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,false,false,true,true,true,true,true,false,false,true,false,true,true,true,true,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,POINT (-84.498756 42.702398)
IN,150072,MEMORIAL HOSPITAL,1101 MICHIGAN AVE,LOGANSPORT,46947.0,17,Short Term,tt,[],83,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Yes,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,POINT (-86.361289 40.762399)
WY,531303,WESTON COUNTY HEALTH SERVICES,1124 WASHINGTON BOULEVARD,NEWCASTLE,82701.0,45,Critical Access Hospitals,tt,[],21,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,6.0,0.0,6.0,6.0,1.0,Yes,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-104.188756 43.848827)
MD,210064,LEVINDALE HEBREW GERIATRIC CENTER AND HOSPITAL,2434 WEST BELVEDERE AVENUE,BALTIMORE,21209.0,510,Short Term,tt,[],100,1,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,No,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-76.664522 39.353462)
IA,163027,UNIV OF IOWA HEALTH NETWORK REHAB HOSP,2450 CORAL COURT,CORALVILLE,52241.0,103,Rehabilitation,tt,[],40,1,04/07/2022 12:00:00 AM,7,1,true,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,POINT (-91.610051 41.708006)
KS,171347,SHERIDAN COUNTY HOSPITAL,826  18TH STREET,HOXIE,67740.0,179,Critical Access Hospitals,tt,[],25,1,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,true,true,true,true,false,false,POINT (-100.432735 39.354222)
NE,280032,MARY LANNING HEALTHCARE,715 N ST JOSEPH AVE,HASTINGS,68901.0,1,Short Term,tt,[],163,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Yes,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,POINT (-98.388491 40.591905)
MI,230005,PROMEDICA CHARLES AND VIRGINIA HICKMAN HOSPITAL,5640 N ADRIAN HIGHWAY,ADRIAN,49221.0,91,Short Term,tt,[],88,1,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-84.004463 41.966268)
LA,194020,BRENTWOOD HOSPITAL,1006 HIGHLAND AVENUE,SHREVEPORT,71106.0,17,Psychiatric,state,[],260,1,04/07/2022 12:00:00 AM,7,1,true,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,true,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-93.739357 32.502304)
TX,451306,KIMBLE HOSPITAL,349 REID ROAD,JUNCTION,76849.0,267,Critical Access Hospitals,tt,[],15,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,No,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-99.78014 30.499147)
MD,213029,ADVENTIST HEALTHCARE  REHABILITATION AT ROCKVILLE,9909 MEDICAL CENTER DRIVE,ROCKVILLE,20850.0,31,Rehabilitation,tt,[],87,2,04/07/2022 12:00:00 AM,7,1,true,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-77.201225 39.098221)
PA,390180,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BOULEVARD,UPLAND,19013.0,45,Short Term,tt,[],499,3,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,0.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,
TX,450072,BRAZOSPORT REGIONAL HEALTH SYSTEM,100 MEDICAL DRIVE,LAKE JACKSON,77566.0,39,Short Term,tt,[],165,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,No,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-95.451623 29.03057)
KY,182003,SELECT SPECIALTY HOSPITAL - CENTRAL KENTUCKY,"217 SOUTH THIRD STREET, 4TH FLOOR",DANVILLE,40422.0,21,Long Term,tt,['2022-04-07'],41,1,04/07/2022 12:00:00 AM,6,0.866,false,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Yes,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,POINT (-84.772639 37.643798)
OK,370016,INTEGRIS BASS BAPTIST HEALTH CENTER,600 SOUTH MONROE,ENID,73701.0,47,Short Term,tt,[],162,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,Yes,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,POINT (-97.886499 36.389907)
MD,210009,"JOHNS HOPKINS HOSPITAL, THE",600 NORTH  WOLFE STREET,BALTIMORE,21287.0,510,Short Term,tt,"['2022-04-05', '2022-04-06', '2022-04-07']",1025,1,04/07/2022 12:00:00 AM,4,0.534,false,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,No,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,POINT (-76.590792 39.29714)
MN,241303,SANFORD TRACY MEDICAL CENTER,251 FIFTH STREET EAST,TRACY,56175.0,83,Critical Access Hospitals,tt,[],25,1,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,No,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-95.60675 44.232237)
SD,433300,LIFESCAPE,2501 W 26TH ST,SIOUX FALLS,57105.0,99,Childrens Hospitals,tt,[],18,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Yes,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,POINT (-96.755586 43.529448)
TX,450610,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,921 GESSNER,HOUSTON,77024.0,201,Short Term,tt,[],136,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,No,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-95.544354 29.781293)
CA,050567,PROVIDENCE MISSION HOSPITAL,27700 MEDICAL CENTER RD,MISSION VIEJO,92691.0,59,Short Term,tt,[],565,2,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-117.666045 33.560152)
WY,530008,SAGEWEST HEALTH CARE,2100 W SUNSET DR,RIVERTON,82501.0,13,Short Term,tt,[],146,2,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-108.418655 43.033667)
RI,410004,ROGER WILLIAMS MEDICAL CENTER,825 CHALKSTONE AVENUE,PROVIDENCE,2908.0,7,Short Term,tt,[],220,1,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-71.434909 41.833925)
KS,170105,MCPHERSON HOSPITAL INC,1000 HOSPITAL DRIVE,MCPHERSON,67460.0,113,Short Term,tt,[],49,1,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-97.672485 38.379006)
CA,050136,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,94954.0,97,Short Term,tt,[],97,1,04/07/2022 12:00:00 AM,7,1,false,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,0.0,0.0,1.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-122.633105 38.25332)
PA,390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,333 COTTMAN AVENUE,PHILADELPHIA,19111.0,101,Short Term,tt,[],100,1,04/07/2022 12:00:00 AM,7,1,false,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-75.092028 40.066253)
WI,520030,ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,WAUSAU,54401.0,73,Short Term,tt,[],321,1,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,false,false,true,true,true,true,true,false,false,true,false,true,true,true,true,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-89.670273 44.965842)
